"campus","sample_type","sample_subtype","classcode","Kingdom","Phylum","Class","Order","Family","Genus","Species","species_definition","taxonomic_source","taxonomic_id","common_name","notes","size_cutoff","LOOKED1999","LOOKED2000","LOOKED2001","LOOKED2002","LOOKED2003","LOOKED2004","LOOKED2005","LOOKED2006","LOOKED2007","LOOKED2008","LOOKED2009","LOOKED2010","LOOKED2011","LOOKED2012","LOOKED2013","LOOKED2014","LOOKED2015","LOOKED2016","LOOKED2017","LOOKED2018","LOOKED2019","LOOKED2020","LOOKED2021","LOOKED2022","LOOKED2023","LOOKED2024"
"UCSB","FISH","FISH","AARG","Animalia","Chordata","Actinopterygii","Perciformes","Embiotocidae","Amphistichus","argenteus","Amphistichus argenteus","WoRMS","279594","Barred Surfperch",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","ACOR","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Artedius","corallinus","Artedius corallinus","WoRMS","279699","Coralline Sculpin","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSC","FISH","FISH","ACOR","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Cottidae","Artedius","corallinus","Artedius corallinus","WoRMS","279699","Coralline Sculpin","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSB","FISH","FISH","ADAV","Animalia","Chordata","Actinopterygii","Perciformes","Haemulidae","Anisotremus","davidsonii","Anisotremus davidsonii","WoRMS","279617","Sargo",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","ADAV","Animalia","Chordata","Actinopterygii","Perciformes","Haemulidae","Anisotremus","davidsonii","Anisotremus davidsonii","WoRMS","279617","Sargo",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","AFLA","Animalia","Chordata","Actinopterygii","Gasterosteiformes","Aulorhynchidae","Aulorhynchus","flavidus","Aulorhynchus flavidus","WoRMS","279839","Tubesnout",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","AFLA","Animalia","Chordata","Actinopterygii","Gasterosteiformes","Aulorhynchidae","Aulorhynchus","flavidus","Aulorhynchus flavidus","WoRMS","279839","Tubesnout",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","AGUA","Animalia","Chordata","Actinopterygii","Perciformes","Apogonidae","Apogon","guadalupensis","Apogon guadalupensis","WoRMS","273016","Guadalupe Cardinalfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","AHEX","Animalia","Chordata","Actinopterygii","Perciformes","Ammodytidae","Ammodytes","hexapterus","Ammodytes hexapterus","WoRMS","254510","Sandlance","AS OF 2020, ONLY ONE OBSERVATION FROM 2001",NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","AHOL","Animalia","Chordata","Actinopterygii","Perciformes","Labrisomidae","Alloclinus","holderi","Alloclinus holderi","WoRMS","279560","Island Kelpfish","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSC","FISH","FISH","AHOL","Animalia","Chordata","Actinopterygii","Perciformes","Labrisomidae","Alloclinus","holderi","Alloclinus holderi","WoRMS","279560","Island Kelpfish","Cryptic, not sampled effectiively",NA,"no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no","no"
"UCSB","FISH","FISH","AINE","Animalia","Chordata","Actinopterygii","Scorpaeniformes","Agonidae","Anoplagonus","inermis","Anoplagonus inermis","WoRMS","279630","Smooth Alligatorfish",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","ANOB","Animalia","Chordata","Actinopterygii","Perciformes","Sciaenidae","Atractoscion","nobilis","Atractoscion nobilis","WoRMS","278535","White Seabass",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","AOCE","Animalia","Chordata","Actinopterygii","Perciformes","Anarhichadidae","Anarrhichthys","ocellatus","Anarrhichthys ocellatus","WoRMS","279605","Wolf Eel",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","AOCE","Animalia","Chordata","Actinopterygii","Perciformes","Anarhichadidae","Anarrhichthys","ocellatus","Anarrhichthys ocellatus","WoRMS","279605","Wolf Eel",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","APFL","Animalia","Chordata","Actinopterygii","Perciformes","Pholidae","Apodichthys","flavidus","Apodichthys flavidus","WoRMS","279664","Penpiont Gunnel",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","ATHE","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Atherinopsidae","spp","Atherinopsidae","WoRMS","266995","Grunion, Topsmelt Or Jacksmelt","Combined with Atherinopsis californiensis due to visual similarity.",NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSC","FISH","FISH","ATHE","Animalia","Chordata","Actinopterygii","Atheriniformes","Atherinopsidae","Atherinopsidae","spp","Atherinopsidae","WoRMS","266995","Grunion, Topsmelt Or Jacksmelt","Combined with Atherinopsis californiensis due to visual similarity.",NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
"UCSB","FISH","FISH","AVUL","Animalia","Chordata","Elasmobranchii","Lamniformes","Alopiidae","Alopias","vulpinus","Alopias vulpinus","WoRMS","105836","Thresher Shark",NA,NA,"yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes","yes"
