Date,mean_sst,Date_30,Date_60,SST_D30,SST_D60,SST_meanPLD_30,SST_maxPLD_30,SST_minPLD_30,SST_meanPLD_60,SST_maxPLD_60,SST_minPLD_60,SST_meanPLD_early,mean_sst_spawnwin,up_33,up_36,up_33_30,up_36_30,up_33_60,up_36_60,up33_meanPLD_30,up33_meanPLD_60,up36_meanPLD_30,up36_meanPLD_60,up33_meanPLD_early,up36_meanPLD_early,chla,chla_60,chla_meanPLD_30,chla_meanPLD_60,Mean_NPP,NPP_D30,NPP_D60,NPP_meanPLD_30,NPP_meanPLD_60,NPP_maxPLD_30,NPP_maxPLD_60,NPP_meanPLD_early,cuti_34,beuit_34N,cuti_30,beuti_30,cuti_60,beuti_60,cuti_maxPLD_30,cuti_maxPLD_60,cuti_meanPLD_30,cuti_meanPLD_60,beuti_maxPLD_30,beuti_maxPLD_60,beuti_meanPLD_30,beuti_meanPLD_60,cuti_meanPLD_early,beuti_meanPLD_early,slh_anom,slh_30,slh_60,slh_maxPLD_30,slh_maxPLD_60,slh_meanPLD_30,slh_meanPLD_60,slh_meanPLD_early
1/1/2000,NA,12/2/1999,11/2/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,154,204,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.636023991,NA,NA,NA,596,NA,NA,NA,NA,NA,NA,NA,0.763,3.732,1.75,5.35,0.671,0.306,2.352,2.967,0.395666667,0.435,10.588,10.588,1.745633333,1.26955,0.474333333,0.793466667,NA,NA,NA,NA,NA,NA,NA,NA
1/2/2000,NA,12/3/1999,11/3/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,178,211,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.383377836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.254,12.184,0.956,3.556,1.266,0.569,2.352,2.967,0.438933333,0.451466667,12.184,12.184,2.033233333,1.463133333,0.464,0.893033333,NA,NA,NA,NA,NA,NA,NA,NA
1/3/2000,NA,12/4/1999,11/4/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4,43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.830813614,NA,NA,NA,615,NA,NA,NA,NA,NA,NA,NA,0.348,2.051,-0.521,-1.957,0.226,0.133,2.352,2.967,0.4679,0.4535,12.184,12.184,2.166833333,1.4951,0.4391,0.823366667,NA,NA,NA,NA,NA,NA,NA,NA
1/4/2000,NA,12/5/1999,11/5/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.206712513,NA,NA,NA,643,NA,NA,NA,NA,NA,NA,NA,0.084,0.504,0.023,0.073,-0.289,-0.154,2.352,2.967,0.469933333,0.459716667,12.184,12.184,2.1812,1.506066667,0.4495,0.830933333,NA,NA,NA,NA,NA,NA,NA,NA
1/5/2000,NA,12/6/1999,11/6/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36,108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.979832768,NA,NA,NA,647,NA,NA,NA,NA,NA,NA,NA,1.156,6.972,0.815,2.66,-0.225,-0.106,2.352,2.967,0.4813,0.482733333,12.184,12.184,2.324933333,1.624033333,0.484166667,0.923133333,NA,NA,NA,NA,NA,NA,NA,NA
1/6/2000,NA,12/7/1999,11/7/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-13,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.281476602,NA,NA,NA,627,NA,NA,NA,NA,NA,NA,NA,0.013,0.098,2.175,8.244,-0.238,-0.153,2.352,2.967,0.409233333,0.486916667,12.184,12.184,2.0534,1.628216667,0.5646,1.203033333,NA,NA,NA,NA,NA,NA,NA,NA
1/7/2000,NA,12/8/1999,11/8/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.281476602,NA,NA,NA,551,NA,NA,NA,NA,NA,NA,NA,0.419,3.261,1.252,6.004,0.163,0.092,2.352,2.967,0.381466667,0.491183333,12.184,12.184,1.961966667,1.681033333,0.6009,1.4001,NA,NA,NA,NA,NA,NA,NA,NA
1/8/2000,NA,12/9/1999,11/9/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.357018468,NA,NA,NA,581,NA,NA,NA,NA,NA,NA,NA,0.592,4.843,-0.014,-0.061,0.24,0.136,2.352,2.967,0.401666667,0.49705,12.184,12.184,2.125433333,1.759483333,0.592433333,1.393533333,NA,NA,NA,NA,NA,NA,NA,NA
1/9/2000,NA,12/10/1999,11/10/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27,80,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2920475,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.932,7.941,2.352,10.588,0.379,0.225,2.254,2.967,0.354333333,0.506266667,12.184,12.184,2.0372,1.888083333,0.6582,1.738966667,NA,NA,NA,NA,NA,NA,NA,NA
1/10/2000,NA,12/11/1999,11/11/1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,58,50,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.988649951,NA,NA,NA,638,NA,NA,NA,NA,NA,NA,NA,1.244,11.33,0.915,4.65,0.03,0.02,2.254,2.967,0.3653,0.5265,12.184,12.184,2.259866667,2.076583333,0.6877,1.8933,NA,NA,NA,NA,NA,NA,NA,NA
